row_id,split,topic,source_hint,question,reference_answer,review_notes
1,train,general_history,wiki_pittsburgh,Who is Pittsburgh named after?,William Pitt the Elder,
2,train,general_history,wiki_pittsburgh,Which British statesman gave Pittsburgh its name?,William Pitt the Elder,
3,train,general_history,wiki_pittsburgh,Who named Pittsburgh in 1758?,General John Forbes,
4,train,general_history,wiki_history_pittsburgh,What French fort stood at Pittsburgh's Point before Fort Pitt?,Fort Duquesne,
5,train,general_history,wiki_pittsburgh,What park marks the confluence of Pittsburgh's three rivers?,Point State Park,
6,train,general_history,wiki_pittsburgh,Which river is formed where the Allegheny and Monongahela rivers meet?,Ohio River,
7,train,general_history,wiki_pittsburgh,What nickname reflects Pittsburgh's large number of bridges?,City of Bridges,
8,train,general_history,wiki_pittsburgh,How many bridges does Pittsburgh have according to the Pittsburgh Wikipedia page?,446 bridges,
9,train,general_history,wiki_pittsburgh,How many distinct neighborhoods does Pittsburgh have?,90,
10,train,general_history,wiki_pittsburgh,Which Pittsburgh neighborhood is known as Little Italy?,Bloomfield,
11,train,general_history,britannica_pittsburgh,What is the name of Downtown Pittsburgh's triangular business district?,Golden Triangle,
12,train,general_history,wiki_pittsburgh,What industry is behind Pittsburgh's nickname Steel City?,steel industry,
13,train,general_history,wiki_pittsburgh,Which famous Pittsburgh incline overlooks downtown from Mount Washington?,Duquesne Incline,
14,train,general_history,britannica_pittsburgh,What park contains the Fort Pitt Blockhouse and Fort Pitt Museum?,Point State Park,
15,train,general_history,wiki_pittsburgh,What are Pittsburgh's traditional sports colors?,black and gold,
16,train,cmu,wiki_cmu,Who founded the Carnegie Technical Schools?,Andrew Carnegie,
17,train,cmu,wiki_cmu,When were the Carnegie Technical Schools established?,"November 15, 1900",
18,train,cmu,wiki_cmu,In what year did Carnegie Tech merge with the Mellon Institute to become Carnegie Mellon University?,1967,
19,train,cmu,wiki_cmu,What institution merged with Carnegie Tech to form Carnegie Mellon University?,Mellon Institute of Industrial Research,
20,train,cmu,wiki_cmu,What university was formed by the merger of Carnegie Tech and the Mellon Institute?,Carnegie Mellon University,
21,train,cmu,wiki_cmu,Who founded the Mellon Institute of Industrial Research?,Richard Mellon and Andrew Mellon,
22,train,cmu_history,cmu_ai_history,In what year did CMU establish its computer science department?,1965,
23,train,cmu_history,cmu_ai_history,What CMU institute was founded in 1979 as the first robotics institute at a U.S. university?,Robotics Institute,
24,train,cmu_history,cmu_ai_history,In what year did CMU found the Robotics Institute?,1979,
25,train,cmu_history,cmu_ai_history,What CMU institute was launched in 1984 with government funding?,Software Engineering Institute,
26,train,cmu_history,cmu_ai_history,What CMU school was announced in 1988 as a college devoted solely to computer science?,School of Computer Science,
27,train,cmu,wiki_cmu,What campus object at Carnegie Mellon is considered the world's most painted object?,The Fence,
28,train,cmu,cmu_visit,What Jonathan Borofsky sculpture is a landmark on Carnegie Mellon's campus?,Walking to the Sky,
29,train,cmu,cmu_visit,What Pittsburgh neighborhood contains Carnegie Mellon's main campus?,Oakland,
30,train,cmu,cmu_about,Name one place outside Pittsburgh where Carnegie Mellon has a campus presence.,Silicon Valley; Qatar; Africa,
31,train,cmu,cmu_about,What four campus locations does CMU list on its about page?,"Pittsburgh, Silicon Valley, Qatar, and Africa",
32,train,cmu_history,cmu_ai_history,Name one early CMU researcher who helped establish artificial intelligence at CMU.,Alan Newell; Herb Simon; Allen Perlis; Raj Reddy,
33,train,cmu,wiki_cmu_scs,What complex is home to much of Carnegie Mellon's School of Computer Science?,Gates-Hillman Complex,
34,train,museums,carnegie_museums_about,How many museums are in Carnegie Museums of Pittsburgh?,four,
35,train,museums,carnegie_museums_about,Name one of the four Carnegie Museums of Pittsburgh.,Carnegie Museum of Art; Carnegie Museum of Natural History; Kamin Science Center; The Andy Warhol Museum,
36,train,museums,carnegie_museums_history,What organization was founded in November 1895 and is now Carnegie Museums?,Carnegie Institute,
37,train,museums,carnegie_museums_history,"Who founded Carnegie Institute, now Carnegie Museums?",Andrew Carnegie,
38,train,museums,carnegie_museums_history,What did Andrew Carnegie call the original Carnegie Institute building?,his monument,
39,train,museums,carnegie_museums_history,What museum joined Carnegie Museums in 1994?,The Andy Warhol Museum,
40,train,museums,carnegie_museums_history,Which Carnegie museum's growth included the Sarah Scaife Galleries?,Carnegie Museum of Art,
41,train,museums,britannica_pittsburgh,Which Carnegie museum houses the Henry Buhl Jr. Planetarium and Observatory?,Carnegie Science Center,
42,train,museums_history,heinz_history_center,Which Pittsburgh museum calls itself Pittsburgh's people museum?,Heinz History Center,
43,train,museums_history,heinz_history_center,What region's stories does the Heinz History Center focus on?,Western Pennsylvania,
44,train,museums,frick_pittsburgh,What is the name of Henry Clay Frick's historic house at The Frick Pittsburgh?,Clayton,
45,train,museums,frick_pittsburgh,How large is The Frick Pittsburgh's site?,10 acres,
46,train,museums,frick_pittsburgh,What Frick structure served the Frick family from 1897 through the 1970s?,greenhouse,
47,train,culture_music,wiki_pittsburgh_cultural_trust,What organization is associated with Pittsburgh's Cultural District?,Pittsburgh Cultural Trust,
48,train,culture_music,wiki_pittsburgh_symphony,Which major orchestra is based in Pittsburgh?,Pittsburgh Symphony Orchestra,
49,train,food_events,picklesburgh_visit,What annual Pittsburgh festival is the destination for all things pickled?,Picklesburgh,
50,train,food_events,picklesburgh_home,What are the 2026 dates for Picklesburgh?,"July 16-19, 2026",
51,train,food_events,picklesburgh_home,How many days is Picklesburgh 2026 scheduled to last?,four days,
52,train,food_events,picklesburgh_home,What year of the festival is Picklesburgh celebrating in 2026?,11th year,
53,train,food_events,picklesburgh_visit,What publication's readers voted Picklesburgh the number one specialty food festival in the country?,USA Today,
54,train,food_events,picklesburgh_visit,What type of payment format is Picklesburgh primarily using?,cashless,
55,train,food_events,little_italy_days_about,What festival started in 2002 to celebrate Bloomfield's Italian heritage?,Little Italy Days,
56,train,food_events,little_italy_days_about,When did Little Italy Days start?,2002,
57,train,food_events,visitpittsburgh_food_festivals,Which Pittsburgh neighborhood hosts Little Italy Days?,Bloomfield,
58,train,food_events,pittsburgh_restaurant_week_winter,How often is Pittsburgh Restaurant Week held?,twice a year,
59,train,food_events,pittsburgh_restaurant_week_winter,What seasons does Pittsburgh Restaurant Week celebrate?,summer and winter,
60,train,food_events,pittsburgh_restaurant_week_winter,What are the dates for Winter Restaurant Week 2026?,"January 12-18, 2026",
61,train,food_events,pittsburgh_taco_fest_visitpittsburgh,In what month is The Original Pittsburgh Taco Festival scheduled for 2026?,September 2026,
62,train,food_events,pittsburgh_taco_fest_visitpittsburgh,Where is The Original Pittsburgh Taco Festival held?,The Stacks at 3 Crossings,
63,train,food_events,pittsburgh_taco_fest_visitpittsburgh,What is the address of The Stacks at 3 Crossings for the Pittsburgh Taco Festival?,2875 Railroad Street,
64,train,food_events,pittsburgh_taco_fest_visitpittsburgh,The Original Pittsburgh Taco Festival generates support for nonprofits aiding which community?,Pittsburgh's Latin American community,
65,train,food_events,visitpittsburgh_annual_events,What Pittsburgh festival was established in 2019 to honor food service pioneers and entrepreneurs?,Pittsburgh Soul Food Festival,
66,train,sports,visitpittsburgh_sports_teams,Where do the Pittsburgh Steelers play home games?,Acrisure Stadium,
67,train,sports,visitpittsburgh_sports_teams,Where do the Pittsburgh Penguins play home games?,PPG Paints Arena,
68,train,sports,wiki_pittsburgh,Where do the Pittsburgh Pirates play home games?,PNC Park,
69,train,sports,visitpittsburgh_sports_teams,How many Super Bowl titles have the Pittsburgh Steelers won according to Visit Pittsburgh?,six,
70,train,sports,visitpittsburgh_sports_teams,What nickname is used for Pittsburgh after the Steelers became the first NFL team with six Super Bowl titles?,Sixburgh,
71,train,sports,visitpittsburgh_sports_teams,How many Stanley Cups are the Pittsburgh Penguins described as having won by Visit Pittsburgh?,five,
72,train,sports,wiki_pirates,What was the original name of the Pittsburgh Pirates franchise?,Allegheny Base Ball Club of Pittsburgh,
73,train,sports,wiki_pirates,In what year was the Pittsburgh Pirates franchise founded?,1881,
74,train,sports,wiki_pittsburgh,What is Pittsburgh's oldest professional sports franchise?,Pittsburgh Pirates,
75,train,sports,wiki_steelers,In what year were the Pittsburgh Steelers founded?,1933,
76,train,sports,wiki_penguins,In what year were the Pittsburgh Penguins founded?,1967,
77,train,sports,wiki_penguins,What colors did the Penguins adopt in 1980 to match Pittsburgh's other teams?,black and gold,
78,train,sports,wiki_pirates,What is the right-field wall at PNC Park nicknamed?,Clemente Wall,
79,train,sports,visitpittsburgh_sports_teams,What color pair do Pittsburgh fans bleed according to Visit Pittsburgh?,black and gold,
80,train,sports,wiki_pirates,Which Pirates player hit the walk-off home run that decided the 1960 World Series?,Bill Mazeroski,
